timestamp,ambient_light,backscatter,pressure,water_temp,battery,sensor
2023-09-16 01:38:44,10,49743,8422,1785,395,305
2023-09-16 01:43:44,10,49744,8413,1784,396,305
2023-09-16 01:48:44,10,49773,8417,1782,396,305
2023-09-16 01:53:44,10,49618,8419,1779,396,305
2023-09-16 01:58:44,9,49672,8419,1779,395,305
2023-09-16 02:03:44,9,49728,8418,1777,396,305
2023-09-16 02:08:44,11,49745,8423,1776,396,305
2023-09-16 02:13:44,10,49628,8423,1774,396,305
2023-09-16 02:18:44,9,49613,8420,1773,396,305
2023-09-16 02:23:44,9,49827,8422,1770,396,305
2023-09-16 02:28:44,11,50040,8420,1770,396,305
2023-09-16 02:33:44,10,49625,8420,1769,395,305
2023-09-16 02:38:44,10,49568,8423,1767,395,305
2023-09-16 02:43:44,10,49594,8417,1766,396,305
2023-09-16 02:48:44,9,49708,8420,1766,396,305
2023-09-16 02:53:44,9,49691,8420,1765,396,305
2023-09-16 02:58:44,9,49755,8422,1765,396,305
2023-09-16 03:03:44,10,49753,8416,1766,395,305
2023-09-16 03:08:44,9,49608,8422,1766,398,305
2023-09-16 03:13:44,9,49626,8418,1767,397,305
2023-09-16 03:18:44,10,49686,8418,1768,397,305
2023-09-16 03:23:44,11,49586,8420,1769,396,305
2023-09-16 03:28:44,10,49823,8416,1769,396,305
2023-09-16 03:33:44,10,49717,8419,1769,396,305
2023-09-16 03:38:44,9,49648,8416,1768,395,305
2023-09-16 03:43:44,9,49907,8417,1768,396,305
2023-09-16 03:48:44,9,49681,8418,1767,397,305
2023-09-16 03:53:44,10,49697,8413,1766,396,305
2023-09-16 03:58:44,10,49630,8414,1766,395,305
2023-09-16 04:03:44,10,49695,8415,1765,396,305
2023-09-16 04:08:44,9,49617,8416,1764,397,305
2023-09-16 04:13:44,10,49639,8417,1762,395,305
2023-09-16 04:18:44,9,49631,8417,1762,396,305
2023-09-16 04:23:44,10,49758,8414,1761,398,305
2023-09-16 04:28:44,10,49725,8414,1760,391,305
2023-09-16 04:33:44,9,49560,8413,1760,389,305
2023-09-16 04:38:44,9,49614,8418,1759,389,305
2023-09-16 04:43:44,10,49636,8415,1759,389,305
2023-09-16 04:48:44,9,49628,8412,1758,389,305
2023-09-16 04:53:44,9,49647,8414,1758,389,305
2023-09-16 04:58:44,9,49633,8416,1758,389,305
2023-09-16 05:03:44,9,49789,8415,1758,389,305
2023-09-16 05:08:44,10,49610,8414,1757,390,305
2023-09-16 05:13:44,10,49734,8416,1757,390,305
2023-09-16 05:18:44,11,49708,8416,1757,390,305
2023-09-16 05:23:44,9,49738,8416,1756,390,305
2023-09-16 05:28:44,9,49592,8415,1756,390,305
2023-09-16 05:33:44,9,49741,8418,1754,391,305
2023-09-16 05:38:44,10,49514,8416,1754,390,305
2023-09-16 05:43:44,12,49524,8418,1754,390,305
2023-09-16 05:48:44,15,49868,8417,1753,391,305
2023-09-16 05:53:44,20,49577,8417,1751,391,305
2023-09-16 05:58:44,24,49895,8415,1751,391,305
